Document,Label,LabelNum
Critics claim publicly available data shows worrying failures on the 737 Max since its return to service.,Business,0
Airlines and oil firms slide as FTSE 100 index of leading shares suffers biggest drop in more than a year.,Business,0
Chip shortages lead to production dropping to the lowest level recorded for October since 1956.,Business,0
"Analysts say this year's sale will be the biggest to date, but retailers won't offer as many discounts.",Business,0
The boss of the world's largest fertiliser producer says gas prices are responsible for higher food prices.,Business,0
Wife of a former Nissan boss on trial in Japan says he is a forgotten victim of the Carlos Ghosn affair.,Business,0
"Strikes or protests are planned in 20 countries, on one of the busiest days of the year for retail.",Business,0
"Black Friday is back and Americans, flush with Covid cash, are going out to spend.",Business,0
"It is unclear whether the placement scheme for 16-24 year olds is working, says National Audit Office.",Business,0
It comes as China's technology industry regulator reviews compliance with new privacy rules.,Business,0
"Steve Finch of toy retailer bopster, explains the pressures his firm is under for Black Friday this year.",Business,0
"Six southern African countries are put on the red list, amid ""deep concern"" over a new variant of the virus.",Business,0
The UK energy market has seen 24 companies collapse since September after wholesale gas prices rose.,Business,0
TNT owner FedEx is sorry as hundreds say they have faced long waits to receive travel documents.,Business,0
It was the most used during a year of lockdowns that saw passenger numbers drop 78% due to Covid.,Business,0
"The energy firm, with 1.7 million customers, has been put into a special form of administration.",Business,0
"Parties are also likely to be in venues outside city centres, says the owner of Harvester and All Bar One.",Business,0
Jamie Dimon has apologised after saying that his Wall Street bank would outlast China's ruling party.,Business,0
It is the latest such move as soaring prices threaten to destabilise the post-pandemic recovery.,Business,0
The move comes as tensions grow between the US and China over the status of Taiwan and trade issues.,Business,0
Browns of Chester served the city for 241 years before it closed when the chain collapsed in May.,Business,0
Portugal's bike factories have been very busy since April 2020 as cycling has surged in popularity.,Business,0
"Peter Done, co-founder of Betfred and CEO of Peninsula, shares his business advice for CEO Secrets.",Business,0
South Africa's main electricity company Eskom plans to switch from using coal to renewable energy.,Business,0
How a former World War Two pilot came second in a cycling competition for older people.,Business,0
A host of firms are developing mini nuclear reactors but questions remain over safety and costs.,Business,0
Covid pushed many of us to ditch screen time for hobbies - knitting was among the most popular.,Business,0
Covid changed our shopping habits but will it shift how we make one of our biggest purchases?,Business,0
Covid has led to an increase in parenting gurus using social media to support new mums and dads.,Business,0
"Always have a back-up supplier so they can take over if needed, says offcuts boss Nish Parekh.",Business,0
Small farms in Africa struggle to compete with commercial agriculture - can new platforms help?,Business,0
How the football sticker maker survived a thieving tycoon and competition from Lycra-clad wrestlers.,Business,0
A growing number of tech firms have developed robots the say could replace bar staff.,Business,0
Xbox boss Phil Spencer talks to BBC podcast Press X to Continue on the console's 20th anniversary.,Business,0
The rodent famous for his financial portfolio and trading cage died peacefully on Tuesday.,Technology,1
"A new museum showcasing more than 2,000 retro mobile phones launches online.",Technology,1
Extinction Rebellion targets 13 sites in the UK on the retail giant's busiest day of the year.,Technology,1
"Bargain hunters could be disappointed this year, especially if they are hoping to buy a games console.",Technology,1
"Strikes or protests are planned in 20 countries, on one of the busiest days of the year for retail.",Technology,1
It comes as China's technology industry regulator reviews compliance with new privacy rules.,Technology,1
The music streaming giant is experimenting on iPhone to let users move through clips quickly.,Technology,1
New rules are introduced to make internet-connected home devices less likely to be hacked.,Technology,1
The move comes as tensions grow between the US and China over the status of Taiwan and trade issues.,Technology,1
The UK advertising watchdog says the rules will come into force from May next year.,Technology,1
Image recognition will be used to help re-build the past piece by piece.,Technology,1
Many recent big advances in tech have one key thing at the heart of then: artificial intelligence.,Technology,1
A huge amount of our lives is influenced by algorithms. Here's how they work.,Technology,1
Companies around the world are racing to create a new generation of computers.,Technology,1
Fans of crypto-currencies say they are the future of money - but at what cost?,Technology,1
How easy would it be for a government to block one of the biggest sources of news and information?,Technology,1
Lara Lewington visits the labs which have some of the latest innovations in solar energy.,Technology,1
LJ Rich looks at the best of the week's technology news stories.,Technology,1
A recycling plant is using machines to stop valuable materials in building waste being incinerated.,Technology,1
LJ Rich looks at the best of the week's technology news stories.,Technology,1
"Tomatoes, cucumbers and peppers are being grown with warmth harnessed from a water treatment works.",Technology,1
South Africa's main electricity company Eskom plans to switch from using coal to renewable energy.,Technology,1
How a former World War Two pilot came second in a cycling competition for older people.,Technology,1
A host of firms are developing mini nuclear reactors but questions remain over safety and costs.,Technology,1
Covid has led to an increase in parenting gurus using social media to support new mums and dads.,Technology,1
Small farms in Africa struggle to compete with commercial agriculture - can new platforms help?,Technology,1
Xbox boss Phil Spencer talks to BBC podcast Press X to Continue on the console's 20th anniversary.,Technology,1
Olaf Scholz will head a three-party coalition with broad plans for transition to a green economy.,ScienceAndEnv,2
A spacecraft has started its journey as it aims to deliberately nudge an asteroid off course.,ScienceAndEnv,2
English universities begin programmes to attract more ethnic minority students into research.,ScienceAndEnv,2
"The mosaic, part of a villa complex, is said to be one of the most significant found in Britain.",ScienceAndEnv,2
"Experts say hydrofluorocarbons, which are used in fridges and aerosols, make global warming worse.",ScienceAndEnv,2
The figures come after Brazil promised to end the practice by 2030 during the COP climate summit.,ScienceAndEnv,2
"Over decades, correspondent David Shukman has seen climate change become our most important issue.",ScienceAndEnv,2
The climate pattern can lead to significant weather changes in different parts of the world.,ScienceAndEnv,2
The climate claims that went viral â€“ and what you need to know about them.,ScienceAndEnv,2
What are the practical things countries need to do in order to tackle climate change?,ScienceAndEnv,2
"Despite green energy investment promises, many governments still financially back the fossil fuel industry.",ScienceAndEnv,2
A crucial climate change summit has been held in the UK which could change our lives.,ScienceAndEnv,2
A report has suggested the carbon footprint of the Glasgow summit is more than double that of COP25.,ScienceAndEnv,2
The future climate could be determined by the level of emissions in the coming years.,ScienceAndEnv,2
The changes made at COP26 in Glasgow could have implications for the way we live.,ScienceAndEnv,2
Scientists applaud some COP26 policies but fear measures don't go far enough and wonâ€™t be delivered.,ScienceAndEnv,2
"Climate activists from the Philippines, the UK and Argentina take questions on climate change.",ScienceAndEnv,2
"Nuclear power is being promoted as a source of 'clean' energy, but is it safe?",ScienceAndEnv,2
There's been progress - but huge hurdles remain to be cleared in the final week of talks in Glasgow.,ScienceAndEnv,2
"Russia has destroyed one of its own satellites in orbit, prompting international condemnation.",ScienceAndEnv,2
The first Nasa mission to return to the surface of the Moon has been delayed by one year to 2025.,ScienceAndEnv,2
"By mimicking the way lobstersâ€™ eyes work, scientists have designed new X-ray space telescopes that can survey much larger areas.",ScienceAndEnv,2
Astronomers have found hints of what could be the first planet ever to be discovered outside our galaxy.,ScienceAndEnv,2
His space company Blue Origin hopes its venture will replace the International Space Station.,ScienceAndEnv,2
Nasa's next-generation spaceship is attached to the rocket that will launch it to the Moon.,ScienceAndEnv,2
The CubeSat began as an educational tool but is now helping out humanity,ScienceAndEnv,2
"The company unveils an advanced ""quantum"" processor that's part of an effort to build super-fast computers.",ScienceAndEnv,2
"Andrew Budziak spends his nights photographing the animals of Toronto, Canada.",ScienceAndEnv,2
"Yu Kongjian's sponge city, based on ancient Chinese wisdom, seeks to change how we deal with floods.",ScienceAndEnv,2
"Unprecedented drought and heat, combined with bad land management, have culminated in historic wildfires.",ScienceAndEnv,2
Hull has been at COP26 to share its innovative approach to tackling flood threats with the world.,ScienceAndEnv,2
Firms often claim they are eco-friendly but how can you check they are as green as they make out?,ScienceAndEnv,2
"Cape Town, on South Africa's coast, was the first global city to come close to running out of water.",ScienceAndEnv,2
"A photographer is using her art to inspire, hoping to keep the iconic animals at home on the range.",ScienceAndEnv,2
The BBCâ€™s Roger Harrabin takes a look at the tech behind hydrogen energy and its green potential.,ScienceAndEnv,2
"A new chapter in physics is here, says a team that hunted for a key building block of the Universe.",ScienceAndEnv,2
A sample of the Native American leader's hair confirms the identity of his great-grandson.,ScienceAndEnv,2
"The BBC is given rare access to film the 45,500-year-old images found on an Indonesian island.",ScienceAndEnv,2
Hypernova hopes that its thruster technology will be adopted on thousands of future small satellites.,ScienceAndEnv,2
"Cities are under threat from floods, forest fires and other disasters - how is tech helping with emergency responses?",ScienceAndEnv,2
"Scientists say they have precisely dated a camp in Newfoundland, Canada, thanks to a new technique.",ScienceAndEnv,2
Sir Andrew Pollard warns against possible moves to reverse planned investment in science.,ScienceAndEnv,2
Wales have been drawn against Austria while Scotland host Ukraine in the play-off semi-finals for the 2022 Qatar World Cup.,Sports,3
West Bromwich Albion have Jayson Molumby sent off as they play out a goalless draw against Nottingham Forest.,Sports,3
The inside story on how siblings Reece and Lauren James grew up to become Chelsea stars.,Sports,3
"Former Football Focus presenter Dan Walker pays tribute to his former colleague Gary Speed, the ex-Premier League player and Wales manager, who died at his home in November 2011.",Sports,3
Scotland score a last-gasp goal for the second World Cup qualifier in a row as Abi Harrison's header salvaged a draw against Ukraine at Hampden.,Sports,3
Wales cruise to a 5-0 win over Greece to maintain the positive start to their 2023 World Cup qualifying campaign.,Sports,3
"Liverpool manager Jurgen Klopp says that ""unfortunately a good coach is coming to England"" if Manchester United agree a deal with Ralf Rangnick.",Sports,3
Manchester United have reached an agreement with Lokomotiv Moscow for the Russian club's head of sports and development Ralf Rangnick to move to Old Trafford as interim manager.,Sports,3
"Haaland preference is to join Real Madrid, Barcelona want Man Utd duo Jesse Lingard and Edinson Cavani, Newcastle lead Dembele chase, plus more.",Sports,3
Watch substitute Breno Lopes score a dramatic 99th-minute winner as Palmeiras beat Santos 1-0 in the final of the Copa Libertadores at the Maracana Stadium.,Sports,3
Tranmere Rovers postpone their League Two home fixture with Stevenage after damage at Prenton Park caused by Storm Arwen.,Sports,3
"Liverpool midfielder Alex Oxlade-Chamberlain says the current Reds side are ""a better team"" than the 2019-20 edition which won the Premier League.",Sports,3
Watch all the goals as Wales hammer Greece at Parc y Scarlets to remain unbeaten in Women's World Cup qualifying.,Sports,3
"Liverpool manager Jurgen Klopp says Ralf Rangnick is an ""outstanding coach"" who will make Manchester United ""organised"" if they appoint him as interim manager.",Sports,3
Football Focus visits Scottish Premiership side Hearts to find out how the supporters saved the club from disaster and turned it into the UK's largest fan-owned club.,Sports,3
"Manchester United forward Marcus Rashford says the club's players still respect former boss Ole Gunnar Solskjaer, who was sacked from his job at Old Trafford last weekend.",Sports,3
"BBC Sport looks back at the Premier League ""comeback to end all comebacks"", when Newcastle recovered from being four goals down inside 30 minutes to draw 4-4 with Arsenal in 2011.",Sports,3
"BBC Sport profiles Erik ten Hag's Ajax, who have made an impressive start to their Champions League campaign, leading to the coach being linked with a Premier League move.",Sports,3
"Watch the top five goals from the latest round of La Liga matches, including Real Madrid's superb team effort rounded off by Vinicius Junior.",Sports,3
"England and Aston Villa goalkeeper Hannah Hampton ""wasn't supposed to play sport"" after she was born with a squint and had multiple eye operations, but wants to encourage others to ""follow your dreams"".",Sports,3
"The 42-year-old presenter says she feels ""amazing"" as she returns to work following cancer surgery.",Entertainment,4
The US composer and lyricist reshaped America's musical theatre in a career spanning over 60 years.,Entertainment,4
"A major new art exhibition in Manchester bills itself as ""a manual for social change"".",Entertainment,4
"The singer lands a number one album with 30, while lead single Easy On Me dominates singles chart.",Entertainment,4
The judge will be replaced by Cynthia Erivo this weekend after being contacted by NHS Test and Trace.,Entertainment,4
The music producer and guitarist hopes to raise money to help talented teenagers.,Entertainment,4
Thousands turn out to enjoy the annual parade with millions more watching on television.,Entertainment,4
The composer and lyricist was a giant of musical theatre with a knack for adapting unlikely subjects.,Entertainment,4
"Theatre bookings last month were down one third on pre-pandemic levels, the latest figures show.",Entertainment,4
"Newsbeat finds out how the ""ambitious"" video game spin-off, Arcane, was brought to life.",Entertainment,4
Jeremy Renner returns as the Avengers' archer to explore his 'human' role in the Marvel universe.,Entertainment,4
As the stars prepare to reunite 20 years after the first film we look at what they've been up to.,Entertainment,4
The Isle of Wight indie duo say it's surreal to see how much faith fans are putting in them.,Entertainment,4
"The Hamilton creator says there's a moment in Tick, Tick... Boom! that made his friends cringe.",Entertainment,4
Bestselling novelist Matt Haig's children's book A Boy Called Christmas has been made into a film.,Entertainment,4
The Lord of The Rings director has restored more than 50 hours of footage.,Entertainment,4
"Nimco Happy, the Somali singer of the viral TikTok hit Isii Nafta (I love you more than my life), reacts to her new-found fame.",Entertainment,4
"With an average age of 55, The Verinos want to encourage more women to start bands.",Entertainment,4
Andrew Marr's talks briefly about his decision to leave the BBC after 21 years.,Entertainment,4
Musician Felix Klieser is the new artist in residence with the Bournemouth Symphony Orchestra.,Entertainment,4
The latest entertainment news in the UK and worldwide can be found on Sky News. Visit us online today for more on the latest showbiz and celebrity news.,Entertainment,4
"An intruder was removed from the castle set of I'm A Celebrity... Get Me Out Of Here!,Ê according to ITV.Ê",Entertainment,4
"An Australian journalist whose ""million dollar"" interview with Adele was canned because he did not listen to her new Album 30 has apologised on air.",Entertainment,4
"As an actor, presenter and documentary maker, Reggie Yates has been a regular fixture on our TV screens since he was a young child.",Entertainment,4
"Richard Madeley is ""gutted"" that he cannot return to I'm A Celebrity&#8230; Get Me Out Of Here! - but says he feels ""fit as a fiddle"".",Entertainment,4
"Adele's album has had the most successful UK chart debut for four years, recording first-week sales of 261,000 and 55.7 million plays across its 12 tracks.",Entertainment,4
Stephen Sondheim - the composer and lyricist behind some of the world's best-known musicals - has died aged 91.,Entertainment,4
ITV has scrapped plans for a live broadcast of I'm A Celebrity...Get Me Out Of Here! tonight due to the severe weather forecast from Storm Arwen.,Entertainment,4
Another Strictly Come Dancing judge will be absent from this weekend's panel after being told to self-isolate by NHS Test and Trace.,Entertainment,4
Madonna has hit out at Instagram for taking down provocative photographs in which her nipple was exposed.,Entertainment,4
"Jeremy Clarkson has said he narrowly escaped losing his leg in an accident on his farm, saying he ""didn't walk properly for a week"".",Entertainment,4
Sky news delivers daily politics reports from the UK and worldwide and the latest breaking political news as it happens.,Politics,5
"A government minister has defended Stanley Johnson, calling him ""a gentleman"" after a fellow Conservative Party MP accused the prime minister's father of inappropriately touching her.",Politics,5
France has cancelled a meeting with the UK to discuss Channel crossings after Boris Johnson asked the French to take back migrants arriving in Britain.,Politics,5
"There is limited evidence that Rishi Sunak's &#163;2bn jobs programme for young people is working, according to a new report.",Politics,5
"A worrying new COVID strain has been classified by the World Health Organisation as a ""variant of concern"" - its most serious level - and officially given the Greek name Omicron.",Politics,5
Shadow Health Secretary Jonathan Ashworth has tested positive for COVID-19 and is self-isolating.,Politics,5
"Boris Johnson has offered to work with France to ""move further and faster"" in order to tackle small boat crossings and avoid a repeat of the ""appalling tragedy"" in the Channel that left 27 people dead.",Politics,5
Senior figures in the 1922 Committee of backbench Conservative MPs have been seen entering Downing Street for a meeting with Boris Johnson.,Politics,5
"Young men are committing crime because positive male role models on TV have been replaced by female characters, an MP has suggested.",Politics,5
"The home secretary has said it was a ""dreadful shock which was not a surprise"" after 27 people died as they tried to cross the Channel last night.",Politics,5
"When the government was embroiled in a storm about sleaze earlier this month, Boris Johnson addressed a private meeting of the 1922 committee of Tory MPs.&#160;",Politics,5
"Sky News technology provides you with all the latest tech and gadget news, game reviews, Internet and web news across the globe. Visit us today.",Technology,1
"There are growing fears a newly discovered COVID-19 variant, said to be potentially more dangerous than the one causing waves of infection around the world, could impact Christmas.",Technology,1
"Criminals with ""advanced forging capabilities"" are selling valid vaccine certificates on the dark web, according to new research, suggesting they may have compromised government systems.",Technology,1
Amazon's largest UK warehouse is being blockaded by climate activists in Black Friday protests.,Technology,1
The UK markets watchdog said on Friday it had secured additional commitments from Google in its 11-month-long tussle over the technology giant's privacy plans.,Technology,1
"NASA has delayed the launch of its new James Webb Space Telescope following an ""incident"" that happened affecting its connection to the rocket.",Technology,1
Madonna has hit out at Instagram for taking down provocative photographs in which her nipple was exposed.,Technology,1
"Finding a route across the channel is as easy as typing ""smuggler"" into Facebook. Ê",Technology,1
"NASA has released a ""rare postcard"" from Mars after being inspired by a ""remarkable"" image that its rover sent back from the red planet.",Technology,1
A spacecraft has been launched from California this morning carrying with it humanity's greatest hopes of being able to protect our planet from a cataclysmic asteroid impact.,Technology,1
"Before we get too excited about NASA's asteroid deflection test, we should recognise that humanity is very bad at predicting impacts.",Technology,1
"Sky business news provides up to the minute reports on markets, share prices and the world economy, alongside expert business commentary.",Business,0
"The owner of Butlin's is preparing to put it up for sale amid a boom in British staycations, sparking a potential bidding frenzy for the country's best-known chain of holiday camps.",Business,0
"The FTSE 100 has fallen by 3.64% in its biggest one-day sell-off, in percentage terms, since June 2020.",Business,0
News of a potentially fast-spreading new coronavirus variant has already triggered a violent reaction on markets and in a number of different asset classes.,Business,0
"Britain is bringing in travel restrictions for six African countries due to a new COVID variant that UK experts have called the ""worst one we've seen so far"".",Business,0
Amazon's largest UK warehouse is being blockaded by climate activists in Black Friday protests.,Business,0
"One of the handful of female chairs of a FTSE-100 company is preparing to step down after serving on the board of Land Securities, the property giant, for nearly eight years.",Business,0
The discount shopping bonanza Black Friday is on course to be a mixed picture across the UK.,Business,0
"There is limited evidence that Rishi Sunak's &#163;2bn jobs programme for young people is working, according to a new report.",Business,0
"Some of Britain's biggest lenders are facing sizeable losses from the sudden collapse of Arena Television, a provider of outside broadcast services at sporting events including the Wimbledon tennis championships.",Business,0
The UK markets watchdog said on Friday it had secured additional commitments from Google in its 11-month-long tussle over the technology giant's privacy plans.,Business,0